J, Jp,  transition energy (au), line strength (au), the level inverse lifetime (au), transition energy (nm) ,linewidth (Hz)
9.0,8.0,0.28975988,4.993e-7,0.0,157.0,0.0
9.0,8.0,0.29030345,1.471e-7,0.0,157.0,0.0
9.0,8.0,0.29380453,1.589e-7,0.0,155.0,0.0
9.0,8.0,0.29399863,9.976e-9,0.0,155.0,0.0
9.0,9.0,0.29530858,4.693e-7,0.0,154.0,0.0
9.0,8.0,0.2964267,0.0001235,0.0,154.0,0.0
9.0,8.0,0.29798086,3.003e-9,0.0,153.0,0.0
9.0,8.0,0.29819592,2.097e-7,0.0,153.0,0.0
9.0,9.0,0.29947306,5.171e-7,0.0,152.0,0.0
9.0,8.0,0.30147101,4.296e-9,0.0,151.0,0.0
9.0,8.0,0.31008703,5.189e-7,0.0,147.0,0.0
9.0,8.0,0.31181023,4.013e-8,0.0,146.0,0.0
9.0,9.0,0.31267866,4.186e-7,0.0,146.0,0.0
9.0,8.0,0.31364688,5.111e-9,0.0,145.0,0.0
9.0,8.0,0.32419342,4.232e-9,0.0,141.0,0.0
9.0,9.0,0.32493883,1.828e-8,0.0,140.0,0.0
9.0,8.0,0.32551384,5.314e-8,0.0,140.0,0.0
9.0,8.0,0.32809363,1.436e-7,0.0,139.0,0.0
9.0,8.0,0.33256339,3.607e-7,0.0,137.0,0.0
9.0,9.0,0.34678916,5.725e-10,0.0,131.0,0.0
9.0,8.0,0.34716688,2.332e-8,0.0,131.0,0.0
9.0,8.0,0.34909511,4.361e-9,0.0,130.0,0.0
9.0,9.0,0.35175236,3.163e-8,0.0,129.0,0.0
9.0,10.0,0.35196059,1.149e-11,0.0,129.0,0.0
9.0,8.0,0.35494817,1.756e-7,0.0,128.0,0.0
9.0,8.0,0.35583392,2.293e-9,0.0,128.0,0.0
9.0,10.0,0.35831029,1.184e-9,0.0,127.0,0.0
9.0,8.0,0.35985306,4.047e-9,0.0,127.0,0.0
9.0,9.0,0.36135027,7.713e-11,0.0,126.0,0.0
9.0,8.0,0.36307803,3.274e-12,0.0,125.0,0.0
9.0,9.0,0.36498257,2.184e-6,0.0,125.0,0.0
9.0,10.0,0.36621916,2.86e-10,0.0,124.0,0.0
9.0,9.0,0.36702654,6.761e-8,0.0,124.0,0.0
9.0,8.0,0.37059004,1.578e-7,0.0,123.0,0.0
9.0,8.0,0.37376307,9.549e-9,0.0,122.0,0.0
9.0,9.0,0.37859415,4.778e-5,0.0,120.0,0.0
9.0,8.0,0.38025584,8.369e-6,0.0,120.0,0.0
9.0,8.0,0.39171318,2.726e-7,0.0,116.0,0.0
9.0,8.0,0.39192824,8.902e-6,0.0,116.0,0.0
9.0,8.0,0.39429844,1.516e-6,0.0,116.0,0.0
9.0,8.0,0.3959255,2.675e-5,0.0,115.0,0.0
9.0,8.0,0.39793712,5.858e-9,0.0,114.0,0.0
9.0,8.0,0.39904568,1.458e-7,0.0,114.0,0.0
9.0,9.0,0.40007404,3.815e-6,0.0,114.0,0.0
9.0,9.0,0.40858617,8.556e-9,0.0,111.0,0.0
9.0,8.0,0.41046156,2.251e-7,0.0,111.0,0.0
9.0,8.0,0.4117879,1.628e-7,0.0,111.0,0.0
9.0,8.0,0.41397767,6.261e-6,0.0,110.0,0.0
9.0,8.0,0.41540882,1.683e-8,0.0,110.0,0.0
9.0,8.0,0.4169001,8.634e-12,0.0,109.0,0.0
9.0,8.0,0.418267,5.155e-9,0.0,109.0,0.0
9.0,9.0,0.41935915,2.249e-9,0.0,109.0,0.0
